IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,  10355,  14584,  0.025,  0.054, -1.767,  0.000,  0.000,  0.000,  0.000
 -0.001,  10355,  14584,  0.025,  0.054, -1.767,  0.000,  0.000,  0.000,  0.000
 -0.001,  10355,  14583,  0.025,  0.054, -1.768,  0.000,  0.000,  0.000,  0.000
 -0.001,  10355,  14583,  0.025,  0.054, -1.768,  0.000,  0.000,  0.000,  0.000
 -0.001,  10356,  14582,  0.025,  0.054, -1.770,  0.000,  0.000,  0.000,  0.000
 -0.001,  10358,  14582,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14582,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14582,  0.025,  0.054, -1.773,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14582,  0.025,  0.054, -1.773,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14582,  0.025,  0.054, -1.773,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14580,  0.025,  0.054, -1.775,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14582,  0.025,  0.054, -1.773,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14581,  0.025,  0.054, -1.774,  0.000,  0.000,  0.000,  0.017
 -0.001,  10359,  14581,  0.025,  0.054, -1.774,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14585,  0.025,  0.053, -1.770,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.008
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.017
 -0.001,  10359,  14583,  0.025,  0.054, -1.772,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14584,  0.025,  0.054, -1.771,  0.000,  0.000,  0.000,  0.000
 -0.001,  10359,  14580,  0.025,  0.054, -1.775,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14580,  0.025,  0.054, -1.775,  0.000,  0.000,  0.000,  0.017
 -0.001,  10359,  14580,  0.025,  0.054, -1.775,  0.000,  0.000,  0.000, -0.008
 -0.001,  10359,  14580,  0.025,  0.054, -1.775,  0.000,  0.000,  0.000,  0.008
